status,accident_index,accident_year,accident_ref_no,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2021201086989,2021,201086989,2,90,Scooter - Electric Scooter
Unvalidated,2021201099599,2021,201099599,2,90,Scooter - Electric Scooter
Unvalidated,2021211066210,2021,211066210,2,90,Scooter - Electric Scooter
Unvalidated,2021221020545,2021,221020545,2,90,Scooter - Electric Scooter
Unvalidated,2021221022079,2021,221022079,1,90,Scooter - Electric Scooter
Unvalidated,2021231035418,2021,231035418,1,90,Scooter - Electric Scooter
Unvalidated,2021302100009,2021,302100009,1,90,Scooter - Electric Scooter
Unvalidated,2021302100117,2021,302100117,2,90,Scooter - Electric Scooter
Unvalidated,2021302100226,2021,302100226,2,90,Scooter - Electric Scooter
Unvalidated,2021302100233,2021,302100233,1,90,Scooter - Electric Scooter
Unvalidated,2021302100412,2021,302100412,1,90,Scooter - Electric Scooter
Unvalidated,2021302100425,2021,302100425,1,90,Scooter - Electric Scooter
Unvalidated,2021302100896,2021,302100896,2,90,Scooter - Electric Scooter
Unvalidated,202131A026321,2021,31A026321,1,90,Scooter - Electric Scooter
Unvalidated,202131C009221,2021,31C009221,2,90,Scooter - Electric Scooter
Unvalidated,202131C015921,2021,31C015921,1,90,Scooter - Electric Scooter
Unvalidated,202131C016721,2021,31C016721,2,90,Scooter - Electric Scooter
Unvalidated,202131C020421,2021,31C020421,2,90,Scooter - Electric Scooter
Unvalidated,202131C031021,2021,31C031021,1,90,Scooter - Electric Scooter
Unvalidated,202131C031021,2021,31C031021,2,90,Scooter - Electric Scooter
Unvalidated,202131C034621,2021,31C034621,2,90,Scooter - Electric Scooter
Unvalidated,202131C036521,2021,31C036521,1,90,Scooter - Electric Scooter
Unvalidated,202131C045821,2021,31C045821,2,90,Scooter - Electric Scooter
Unvalidated,202131C045921,2021,31C045921,2,90,Scooter - Electric Scooter
Unvalidated,202131C057021,2021,31C057021,1,90,Scooter - Electric Scooter
Unvalidated,202131C058521,2021,31C058521,1,90,Scooter - Electric Scooter
Unvalidated,202131C067721,2021,31C067721,2,90,Scooter - Electric Scooter
Unvalidated,202131C077521,2021,31C077521,1,90,Scooter - Electric Scooter
Unvalidated,202131C090821,2021,31C090821,2,90,Scooter - Electric Scooter
Unvalidated,202131C093621,2021,31C093621,1,90,Scooter - Electric Scooter
Unvalidated,202131C097821,2021,31C097821,1,90,Scooter - Electric Scooter
Unvalidated,202131D069321,2021,31D069321,2,90,Scooter - Electric Scooter
Unvalidated,2021332100100,2021,332100100,2,90,Scooter - Electric Scooter
Unvalidated,2021332100156,2021,332100156,2,90,Scooter - Electric Scooter
